Gender,Age,Education_Level,Relationship_Status,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR5,VAR6,VAR7,Attrition_rate
F,25,5,Married,Purchasing,Behavioral,6.0,3,70,0,5,4,type2,1.0,3,3,7,2,0.1431
F,23,3,Married,Accounting and Finance,Conceptual,4.0,3,24,1,1,5,type2,1.0,5,4,8,3,0.4611
F,20,3,Single,Sales,Behavioral,1.0,1,23,1,3,8,type2,4.0,3,3,8,3,0.284
F,58,4,Married,Quality,Analytical,29.0,3,57,1,3,9,type2,2.0,3,4,8,3,0.1482
F,60,4,Married,Logistics,Conceptual,23.0,4,33,1,4,8,type3,3.0,1,3,6,5,0.1993
M,22,1,Married,IT,Analytical,3.0,2,34,2,1,7,type2,2.0,3,2,8,2,0.1031
F,20,3,Married,Logistics,Behavioral,1.0,1,67,2,2,4,type2,3.0,4,3,8,3,0.2388
F,59,3,Single,IT,Directive,28.0,2,20,1,1,4,type2,1.0,4,1,5,3,0.6453
F,47,3,Married,Quality,Conceptual,24.0,1,67,1,1,1,type4,3.0,3,3,8,3,0.1186
F,53,3,Married,Production,Analytical,30.0,2,33,1,2,7,type2,1.0,3,4,7,3,0.2676
M,36,4,Married,IT,Analytical,13.0,1,28,0,4,6,type2,1.0,1,4,6,5,0.094
M,35,3,Married,Logistics,Conceptual,6.0,3,66,1,3,6,type2,2.0,3,1,7,2,0.0363
M,22,5,Married,Production,Conceptual,13.385064177362894,1,61,1,2,4,type3,1.0,1,2,5,5,0.035
F,39,4,Married,Human Resource Management,Analytical,19.0,4,27,1,3,5,type2,4.0,4,2,5,3,0.0163
F,35,4,Married,IT,Behavioral,13.0,4,49,1,2,6,type2,4.0,3,3,8,3,0.1629
F,39,3,Single,Sales,Conceptual,13.0,2,59,2,3,5,type3,5.0,2,2,8,5,0.058
F,31,3,Married,Sales,Directive,4.0,3,55,2,5,7,type3,1.0,3,1,5,3,0.1529
M,39,4,Married,Operarions,Behavioral,3.0,2,36,0,3,5,type2,2.0,4,3,5,3,0.1309
F,44,3,Married,IT,Directive,16.0,1,50,2,3,8,type2,4.0,3,3,7,4,0.1956
F,24,3,Married,IT,Directive,5.0,4,60,1,2,6,type3,2.0,3,2,7,5,0.0344
F,25,1,Married,Quality,Directive,13.385064177362894,4,68,0,4,8,type3,2.0,3,2,8,5,0.2396
F,32,3,Married,R&D,Directive,4.0,4,38,1,5,7,type2,4.0,4,2,6,2,0.1938
F,32,3,Married,Marketing,Analytical,10.0,3,62,1,2,4,type0,3.0,3,2,7,3,0.1589
M,21,3,Single,Operarions,Behavioral,2.0,2,33,2,3,6,type3,2.0,3,4,8,4,0.1826
F,31,2,Single,Operarions,Conceptual,3.0,2,73,1,4,4,type3,3.0,4,3,5,4,0.7367
F,51,4,Single,Operarions,Analytical,25.0,4,65,1,3,7,type2,3.0,3,2,8,4,0.1293
F,37,3,Married,Purchasing,Directive,9.0,2,56,2,5,8,type2,2.0,3,4,6,4,0.1212
M,30,5,Single,Operarions,Conceptual,6.0,3,49,0,4,5,type2,4.0,2,4,5,5,0.6957
F,27,3,Single,IT,Conceptual,3.0,1,63,0,3,8,type3,3.0,3,2,6,5,0.2334
M,36,2,Married,IT,Analytical,14.0,4,57,0,2,7,type2,3.0,3,3,6,3,0.0151
M,27,3,Single,R&D,Behavioral,3.0,1,29,2,4,5,type3,3.0,3,3,8,3,0.0213
F,59,4,Married,Logistics,Analytical,22.0,4,49,1,3,7,type2,3.0,4,3,7,4,0.2573
M,39,2,Married,Operarions,Directive,5.0,3,47,0,1,6,type4,1.0,3,4,6,3,0.2365
F,65,3,Married,Human Resource Management,Directive,36.0,4,63,1,3,6,type2,1.0,4,4,8,3,0.2514
F,45,3,Single,IT,Conceptual,14.0,3,72,1,2,4,type2,1.0,2,1,7,2,0.1657
F,24,2,Married,IT,Behavioral,5.0,3,33,0,3,8,type2,3.0,3,4,9,4,0.4422
F,28,3,Single,Production,Behavioral,5.0,1,53,1,3,6,type3,3.0,3,2,9,5,0.235
M,54,5,Married,Logistics,Analytical,21.0,4,57,1,5,9,type2,2.0,3,4,5,3,0.004
F,42,4,Married,IT,Conceptual,7.0,2,60,1,1,4,type2,2.0,4,3,5,3,0.5882
F,59,3,Married,Accounting and Finance,Directive,30.0,1,55,0,2,4,type2,2.0,3,4,7,3,0.2572
F,56,5,Married,Accounting and Finance,Directive,21.0,3,69,1,2,4,type2,3.0,3,4,7,3,0.0012
F,31,4,Married,R&D,Directive,9.0,3,62,0,2,8,type2,1.0,4,4,7,3,0.0226
F,37,3,Married,Operarions,Behavioral,12.0,1,55,0,3,3,type2,4.0,3,2,7,3,0.1409
M,41,3,Single,Operarions,Conceptual,11.0,4,61,1,1,4,type3,3.0,3,2,8,3,0.14
F,37,5,Married,Operarions,Conceptual,14.0,3,46,2,1,8,type2,3.0,3,2,5,4,0.1046
F,24,3,Single,Human Resource Management,Conceptual,5.0,3,68,0,3,6,type1,1.0,3,3,5,3,0.0385
M,28,3,Married,Sales,Directive,4.0,1,48,0,3,1,type0,1.0,3,2,8,2,0.7559
F,50,3,Married,Operarions,Directive,19.0,2,64,1,3,6,type2,2.0,3,3,5,3,0.0195
F,50,4,Single,Human Resource Management,Analytical,20.0,2,36,1,1,6,type2,1.0,3,3,7,3,0.2702
F,62,4,Married,Sales,Conceptual,23.0,4,65,1,1,5,type3,3.0,3,2,6,3,0.1402
F,54,3,Married,Sales,Analytical,17.0,2,33,1,3,2,type2,3.0,5,3,7,3,0.1892
F,20,3,Single,Purchasing,Directive,1.0,1,37,0,2,8,type3,4.0,3,2,7,3,0.5122
F,47,3,Married,Purchasing,Behavioral,21.0,1,65,1,1,5,type3,3.0,3,3,8,4,0.097
M,35,5,Single,R&D,Analytical,11.0,3,59,0,4,5,type2,1.0,3,3,9,3,0.0269
F,26,4,Single,Logistics,Conceptual,3.0,1,70,1,5,6,type2,3.0,3,4,8,3,0.1776
F,51,4,Single,Purchasing,Behavioral,17.0,2,73,1,2,8,type2,3.0,4,2,7,3,0.0242
M,59,4,Married,Operarions,Behavioral,34.0,2,53,1,2,7,type2,2.0,3,4,8,3,0.2974
F,31,5,Married,Sales,Conceptual,6.0,1,22,1,2,6,type2,2.0,4,4,7,3,0.1512
F,19,4,Married,Security,Analytical,0.0,0,42,1,2,7,type2,3.0,2,3,8,3,0.1638
F,60,3,Married,IT,Behavioral,38.0,3,21,1,3,1,type3,1.0,3,3,6,3,0.0726
F,39,3,Single,R&D,Analytical,18.0,4,69,1,3,4,type2,1.0,4,2,7,2,0.0211
M,27,4,Married,Operarions,Analytical,5.0,3,40,0,1,7,type2,3.0,3,3,7,2,0.1772
M,20,4,Single,IT,Analytical,1.0,1,47,0,2,9,type2,1.0,4,3,8,2,0.7234
F,37,3,Married,Human Resource Management,Analytical,8.0,3,73,0,2,8,type1,4.0,3,3,8,3,0.0518
M,63,3,Married,IT,Directive,38.0,3,59,1,4,4,type2,3.0,3,4,8,3,0.0671
F,31,2,Married,Human Resource Management,Directive,3.0,2,37,1,3,10,type2,2.0,4,3,8,3,0.1462
M,32,2,Single,Operarions,Analytical,10.0,2,24,1,5,7,type2,3.0,3,4,6,3,0.083
M,39,2,Married,Operarions,Directive,18.0,3,31,2,3,6,type3,1.0,1,3,7,2,0.7402
M,28,4,Single,Accounting and Finance,Analytical,5.0,2,69,1,3,7,type3,1.0,1,3,6,5,0.1732
M,63,3,Married,IT,Conceptual,38.0,1,35,0,3,3,type2,4.0,3,4,8,3,0.2795
F,26,3,Married,Accounting and Finance,Directive,3.0,2,48,1,2,3,type2,4.0,5,3,8,5,0.1588
M,46,2,Married,Sales,Directive,21.0,1,55,0,5,6,type3,2.0,5,3,7,3,0.9696
M,20,3,Married,IT,Behavioral,1.0,1,40,1,4,1,type4,2.0,3,3,8,5,0.1887
F,47,4,Married,R&D,Behavioral,25.0,3,30,1,2,8,type2,1.0,3,3,5,4,0.0508
F,24,3,Married,Sales,Behavioral,5.0,1,58,2,1,5,type2,3.0,4,4,6,2,0.1657
M,63,3,Married,Logistics,Conceptual,37.0,2,39,0,3,5,type2,1.0,4,2,8,4,0.0482
F,19,4,Married,Marketing,Behavioral,0.0,0,44,0,4,4,type2,3.0,4,2,5,3,0.001
M,56,3,Single,Logistics,Conceptual,26.0,1,74,1,2,8,type2,1.0,5,3,5,4,0.0242
F,61,3,Married,Sales,Conceptual,23.0,4,35,0,3,6,type3,3.0,3,4,8,3,0.1162
F,26,4,Married,Human Resource Management,Conceptual,2.0,2,55,1,5,7,type4,3.0,3,3,8,3,0.2907
M,19,4,Married,R&D,Directive,0.0,0,68,1,3,9,type2,3.0,3,3,6,3,0.0505
F,46,5,Single,Marketing,Directive,18.0,3,58,2,4,7,type2,2.0,4,3,6,3,0.1175
M,26,3,Single,Purchasing,Behavioral,3.0,2,32,0,3,6,type2,4.0,4,3,6,3,0.07400000000000001
M,24,1,Single,Operarions,Conceptual,5.0,2,39,2,1,5,type3,3.0,1,4,9,4,0.4052
F,59,4,Single,R&D,Conceptual,35.0,4,34,0,2,8,type4,3.0,3,3,5,3,0.2223
M,25,3,Single,IT,Conceptual,6.0,1,48,1,3,6,type2,1.0,3,1,7,2,0.1663
F,19,3,Married,Marketing,Conceptual,0.0,0,37,0,3,5,type2,3.0,3,4,7,3,0.0617
M,64,4,Married,Sales,Analytical,27.0,1,59,2,2,8,type3,4.0,3,4,6,3,0.1744
F,42,4,Single,Logistics,Conceptual,15.0,3,53,0,3,7,type3,5.0,2,3,5,3,0.0834
F,43,3,Married,Production,Behavioral,4.0,4,21,0,1,8,type2,2.0,3,3,6,3,0.0579
M,26,4,Single,Logistics,Conceptual,3.0,3,66,2,4,4,type2,2.0,3,2,9,3,0.2229
M,39,2,Single,IT,Analytical,26.0,4,70,1,2,7,type2,1.0,3,3,8,5,0.2345
F,19,4,Married,Logistics,Conceptual,0.0,0,45,0,3,8,type3,2.0,3,2,8,3,0.1622
F,30,4,Married,IT,Behavioral,8.0,1,67,0,4,5,type3,3.0,3,3,5,3,0.0785
M,39,1,Married,IT,Behavioral,0.0,0,20,1,3,4,type2,4.0,3,4,8,2,0.2276
M,51,4,Single,Purchasing,Analytical,27.0,2,69,0,4,5,type2,3.0,3,3,8,4,0.024
F,58,3,Single,R&D,Analytical,32.0,2,66,1,1,6,type2,4.0,4,4,6,1,0.2394
F,19,3,Single,Human Resource Management,Conceptual,0.0,0,20,1,3,9,type2,2.0,5,4,8,3,0.1863
F,24,1,Married,Human Resource Management,Analytical,5.0,3,65,0,3,9,type2,4.0,3,2,8,3,0.0553
M,35,4,Married,Operarions,Analytical,12.0,2,32,2,4,8,type4,1.0,3,3,5,4,0.2109
F,37,5,Married,Purchasing,Directive,10.0,2,72,0,4,6,type2,3.0,4,2,5,3,0.0949
F,19,4,Married,Sales,Conceptual,0.0,0,65,1,3,5,type3,2.0,3,2,5,3,0.8190000000000001
M,31,3,Single,Accounting and Finance,Behavioral,3.0,3,27,1,3,6,type2,2.0,4,3,6,3,0.1176
F,35,3,Married,Production,Analytical,13.0,4,61,0,1,8,type3,2.0,3,1,7,1,0.9391
M,29,3,Married,Purchasing,Behavioral,6.0,3,52,1,3,5,type3,2.0,3,2,5,3,0.1092
F,58,4,Married,Purchasing,Conceptual,27.0,1,53,2,3,10,type2,1.0,3,4,8,3,0.1715
M,62,5,Married,Logistics,Conceptual,35.0,3,24,2,4,6,type1,4.0,3,3,7,3,0.1213
M,40,3,Single,Accounting and Finance,Analytical,16.0,4,58,0,4,5,type2,3.0,3,3,6,3,0.1623
F,38,3,Married,IT,Directive,13.0,3,41,1,2,6,type0,2.0,1,3,9,4,0.1108
F,21,3,Married,Operarions,Directive,2.0,2,53,1,3,6,type0,4.0,3,3,6,1,0.0932
F,53,1,Married,Logistics,Directive,25.0,3,25,0,2,8,type3,1.0,5,3,8,3,0.0069
M,38,4,Married,Logistics,Behavioral,10.0,4,63,1,2,7,type2,3.0,3,3,8,5,0.1015
M,50,1,Single,Accounting and Finance,Analytical,28.0,4,24,2,4,7,type2,1.0,3,2,8,5,0.1001
M,40,3,Married,Logistics,Directive,13.385064177362894,1,57,1,2,6,type2,1.0,3,5,7,3,0.0543
F,32,1,Single,R&D,Conceptual,7.0,1,35,1,2,8,type2,2.0,4,2,7,3,0.5428
F,37,3,Married,Logistics,Conceptual,8.0,1,72,1,3,3,type3,1.0,3,2,8,3,0.0836
F,46,3,Married,Operarions,Analytical,7.0,4,71,1,2,8,type0,3.0,3,2,8,3,0.085
F,27,3,Married,Production,Directive,3.0,1,62,0,2,4,type3,3.0,3,4,8,1,0.0108
M,27,4,Single,Purchasing,Conceptual,4.0,3,67,1,4,8,type3,3.0,3,2,5,4,0.8835
M,52,3,Single,Operarions,Directive,25.0,1,38,1,3,9,type3,3.0,2,2,7,3,0.0091
F,20,5,Married,Operarions,Conceptual,1.0,1,68,0,1,8,type3,3.0,3,3,7,4,0.0942
F,55,4,Married,Quality,Conceptual,29.0,1,66,1,3,4,type3,2.0,4,3,8,3,0.2214
F,26,4,Married,Logistics,Behavioral,3.0,1,28,1,5,9,type3,2.0,3,4,7,4,0.0019
F,52,3,Married,Accounting and Finance,Analytical,21.0,3,69,0,3,2,type2,3.0,4,5,7,3,0.1718
F,61,3,Married,Marketing,Analytical,26.0,3,60,1,3,8,type3,1.0,3,3,7,3,0.251
M,22,3,Single,IT,Directive,3.0,3,45,2,4,5,type3,4.0,4,2,7,3,0.1543
F,39,5,Single,Accounting and Finance,Directive,15.0,2,30,1,3,8,type3,1.0,5,3,8,1,0.1583
M,30,4,Married,Sales,Directive,6.0,1,58,1,2,7,type4,3.0,3,2,7,3,0.093
M,32,2,Married,Sales,Analytical,9.0,4,49,0,2,4,type2,4.0,4,1,7,5,0.1589
M,27,3,Married,Logistics,Conceptual,5.0,4,41,0,3,7,type2,2.0,3,3,5,3,0.0756
F,42,5,Married,Logistics,Directive,13.0,1,33,1,1,4,type3,3.0,3,2,8,3,0.1525
M,27,3,Married,Purchasing,Conceptual,5.0,4,68,0,3,8,type3,4.0,4,4,8,4,0.8769
F,21,3,Married,Logistics,Behavioral,2.0,1,68,1,1,8,type3,2.0,3,4,8,3,0.2293
F,49,4,Single,Logistics,Behavioral,15.0,2,51,0,3,6,type3,2.0,4,2,7,3,0.0478
F,44,2,Married,Marketing,Analytical,20.0,2,25,2,3,5,type2,3.0,3,1,8,4,0.0544
F,23,4,Married,Sales,Directive,4.0,1,30,1,2,5,type1,4.0,3,4,8,3,0.6302
M,48,4,Married,Sales,Directive,15.0,4,72,0,4,7,type2,1.0,3,3,7,4,0.1347
F,22,3,Married,Accounting and Finance,Directive,3.0,3,46,1,4,4,type3,3.0,4,3,8,4,0.0
M,27,3,Married,Marketing,Conceptual,5.0,3,37,1,2,5,type2,4.0,3,2,5,2,0.0777
M,54,3,Married,IT,Analytical,24.0,4,26,1,2,2,type3,1.0,2,3,5,1,0.0223
M,49,4,Married,Sales,Behavioral,12.0,3,48,0,5,8,type2,4.0,2,3,8,3,0.1191
M,39,2,Married,Purchasing,Conceptual,13.0,1,36,0,3,7,type3,1.0,3,2,8,3,0.0559
F,59,5,Single,Logistics,Conceptual,28.0,3,29,0,3,4,type2,4.0,3,2,6,5,0.1962
F,31,3,Married,Sales,Behavioral,3.0,1,63,2,4,6,type3,4.0,1,3,9,3,0.9299
M,19,4,Married,IT,Directive,0.0,0,50,2,5,5,type3,2.0,2,3,8,2,0.1306
M,43,3,Single,Purchasing,Behavioral,10.0,3,50,1,1,5,type2,3.0,3,3,8,3,0.1038
F,32,3,Single,R&D,Behavioral,9.0,4,74,1,5,8,type3,1.0,3,3,9,4,0.1045
F,22,2,Married,Logistics,Analytical,3.0,2,58,0,1,9,type2,2.0,4,3,5,4,0.1152
F,46,4,Married,Logistics,Behavioral,15.0,1,43,1,2,4,type3,1.0,4,4,8,3,0.0433
M,52,5,Single,Logistics,Analytical,24.0,3,35,1,2,8,type3,4.0,3,3,7,1,0.2683
F,20,3,Married,Human Resource Management,Conceptual,1.0,1,65,1,2,4,type2,3.0,3,3,8,3,0.1006
F,56,5,Single,R&D,Conceptual,18.0,1,31,0,5,8,type3,1.0,3,1,8,3,0.1965
F,28,3,Married,Logistics,Analytical,5.0,4,33,1,3,6,type2,1.0,3,3,8,4,0.001
M,32,3,Married,Accounting and Finance,Conceptual,10.0,1,35,0,2,6,type2,3.0,3,3,7,3,0.2568
F,53,3,Single,IT,Conceptual,23.0,4,37,1,3,10,type4,2.0,3,2,5,4,0.042
M,60,3,Married,Logistics,Analytical,23.0,1,37,1,3,5,type2,3.0,3,3,8,3,0.1353
F,38,4,Single,Operarions,Behavioral,14.0,1,60,2,2,6,type2,1.0,4,3,9,3,0.0089
F,27,3,Single,R&D,Directive,5.0,4,71,2,2,6,type3,2.0,3,4,7,3,0.0155
F,52,3,Single,Sales,Directive,20.0,2,69,0,2,5,type3,1.0,3,4,7,5,0.3777
F,37,3,Married,Accounting and Finance,Analytical,15.0,4,44,0,3,8,type2,1.0,3,4,8,3,0.1908
F,31,1,Single,Production,Analytical,9.0,4,48,1,1,8,type2,3.0,4,3,6,3,0.0098
M,28,4,Single,Production,Directive,4.0,3,42,1,2,7,type2,2.0,3,1,8,3,0.2679
F,27,4,Married,Human Resource Management,Conceptual,5.0,2,73,0,3,8,type2,4.0,4,4,8,3,0.0902
M,25,5,Married,Sales,Directive,6.0,1,30,2,4,5,type2,2.0,2,4,8,3,0.175
M,45,2,Married,Logistics,Behavioral,20.0,2,59,0,3,5,type2,2.0,3,3,5,3,0.022
F,59,4,Married,Sales,Conceptual,26.0,2,67,1,2,5,type3,2.0,4,2,8,3,0.0171
F,46,1,Married,Accounting and Finance,Behavioral,7.0,1,49,0,3,4,type2,4.0,3,2,7,5,0.0664
F,37,4,Single,Sales,Analytical,14.0,1,66,1,5,5,type3,4.0,2,4,8,3,0.1919
F,37,2,Married,Logistics,Analytical,10.0,1,46,1,1,6,type2,4.0,2,4,8,4,0.1496
F,37,5,Married,Purchasing,Behavioral,13.385064177362894,3,42,1,3,6,type3,1.0,3,3,7,4,0.0335
F,55,4,Single,Sales,Directive,19.0,1,53,0,3,4,type2,1.0,3,3,7,3,0.1161
F,22,5,Single,Security,Analytical,3.0,2,29,0,2,2,type3,2.0,3,2,9,3,0.0661
F,26,3,Married,Logistics,Conceptual,4.0,2,31,1,3,8,type2,2.0,3,3,7,3,0.0461
F,21,3,Married,Logistics,Conceptual,2.0,1,71,1,2,5,type2,1.0,3,3,7,4,0.0312
